check_id,confidence,cwe_folder,file,issue,severity,test_name,tool
,LOW,CWE-89-SQLi,/home/kali/Desktop/LLM-Vuln-Project/CWE-89-SQLi/chatgpt_insecure.py,Possible SQL injection vector through string-based query construction.,MEDIUM,hardcoded_sql_expressions,bandit
,LOW,CWE-89-SQLi,/home/kali/Desktop/LLM-Vuln-Project/CWE-89-SQLi/copilot_insecure.py,Possible SQL injection vector through string-based query construction.,MEDIUM,hardcoded_sql_expressions,bandit
,LOW,CWE-89-SQLi,/home/kali/Desktop/LLM-Vuln-Project/CWE-89-SQLi/gemini_insecure.py,Possible SQL injection vector through string-based query construction.,MEDIUM,hardcoded_sql_expressions,bandit
,LOW,CWE-89-SQLi,/home/kali/Desktop/LLM-Vuln-Project/CWE-89-SQLi/gemini_logic_insecure.py,Possible SQL injection vector through string-based query construction.,MEDIUM,hardcoded_sql_expressions,bandit
,LOW,CWE-89-SQLi,/home/kali/Desktop/LLM-Vuln-Project/CWE-89-SQLi/perplexity_insecure.py,Possible SQL injection vector through string-based query construction.,MEDIUM,hardcoded_sql_expressions,bandit
,HIGH,CWE-78-OS-Command-Injection,/home/kali/Desktop/LLM-Vuln-Project/CWE-78-OS-Command-Injection/chatgpt_insecure.py,"Starting a process with a shell, possible injection detected, security issue.",HIGH,start_process_with_a_shell,bandit
,HIGH,CWE-78-OS-Command-Injection,/home/kali/Desktop/LLM-Vuln-Project/CWE-78-OS-Command-Injection/chatgpt_secure.py,Consider possible security implications associated with the subprocess module.,LOW,blacklist,bandit
,HIGH,CWE-78-OS-Command-Injection,/home/kali/Desktop/LLM-Vuln-Project/CWE-78-OS-Command-Injection/chatgpt_secure.py,Starting a process with a partial executable path,LOW,start_process_with_partial_path,bandit
,HIGH,CWE-78-OS-Command-Injection,/home/kali/Desktop/LLM-Vuln-Project/CWE-78-OS-Command-Injection/chatgpt_secure.py,subprocess call - check for execution of untrusted input.,LOW,subprocess_without_shell_equals_true,bandit
,MEDIUM,CWE-78-OS-Command-Injection,/home/kali/Desktop/LLM-Vuln-Project/CWE-78-OS-Command-Injection/chatgpt_secure.py,Probable insecure usage of temp file/directory.,MEDIUM,hardcoded_tmp_directory,bandit
